Nodo Origen;Nodo Destino;Distancia;Latitud Origen;Longitud Origen;Latitud Destino;Longitud Destino
Alberti y Cngo. Echague;Alberti y Patricio Cullen;100;-31.606447;-60.6706817;-31.6020475;-60.6706279
Alberti y Piedras;Alberti y Tacuari;100;-31.6061113;-60.6739421;-31.6059034;-60.674987
Alberti y Tacuari;Alberti y Av. Gral. Paz;70;-31.6059034;-60.674987;-31.6199261;-60.6856858
Cardenal Fasolino y Av. Gral. Paz;Cardenal Fasolino y Tacuari;20;-31.6049727;-60.6753921;-31.6050911;-60.6747927
Cardenal Fasolino y Tacuari;Cardenal Fasolino y Piedras;100;-31.6050911;-60.6747927;-31.6052883;-60.6737171
Cardenal Fasolino y Piedras;Cardenal Fasolino y Antonia Godoy;100;-31.6052883;-60.6737171;-31.6055046;-60.6726398
Cardenal Fasolino y Antonia Godoy;Cardenal Fasolino y Patricio Cullen;100;-31.6055046;-60.6726398;-31.6057083;-60.671577
Cardenal Fasolino y Patricio Cullen;Cardenal Fasolino y Cngo. Echague;100;-31.6057083;-60.671577;-31.6059238;-60.6705314
Cardenal Fasolino y Cngo. Echague;Cardenal Fasolino y Talcahuano;100;-31.6059238;-60.6705314;-31.6061373;-60.6694455
Cardenal Fasolino y Talcahuano;Cardenal Fasolino y Defensa;100;-31.6061373;-60.6694455;-31.6063665;-60.6683829
Cardenal Fasolino y Defensa;Cardenal Fasolino y Riobamba;100;-31.6063665;-60.6683829;-31.6065786;-60.667324
Cardenal Fasolino y Riobamba;Cardenal Fasolino y Av. Almte. Brown;100;-31.6065786;-60.667324;-31.6067903;-60.6661209
Padre Genesio y Av. Almte. Brown;Padre Genesio y Riobamba;100;-31.6058927;-60.6658898;-31.6056588;-60.6670542
Padre Genesio y Riobamba;Padre Genesio y Defensa;100;-31.6056588;-60.6670542;-31.6054418;-60.6681287
Padre Genesio y Defensa;Padre Genesio y Talcahuano;100;-31.6054418;-60.6681287;-31.6052277;-60.6691926
Padre Genesio y Talcahuano;Padre Genesio y Cngo. Echague;100;-31.6052277;-60.6691926;-31.6050197;-60.6702601
Padre Genesio y Cngo. Echague;Padre Genesio y Patricio Cullen;100;-31.6050197;-60.6702601;-31.6047999;-60.6713186
Padre Genesio y Patricio Cullen;Padre Genesio y Antonia Godoy;100;-31.6047999;-60.6713186;-31.6045888;-60.6724077
Padre Genesio y Antonia Godoy;Padre Genesio y Piedras;100;-31.6045888;-60.6724077;-31.6043747;-60.6734748
Padre Genesio y Piedras;Padre Genesio y Tacuari;100;-31.6043747;-60.6734748;-31.604174;-60.6745339
Padre Genesio y Tacuari;Padre Genesio y Av. Gral Paz;20;-31.604174;-60.6745339;-31.6040648;-60.6750893
Javier de la Rosa y Av. Gral Paz;Javier de la Rosa y Tacuari;20;-31.6031099;-60.6747878;-31.6032612;-60.6742642
Javier de la Rosa y Tacuari;Javier de la Rosa y Piedras;100;-31.6032612;-60.6742642;-31.6034617;-60.6732435
Javier de la Rosa y Piedras;Javier de la Rosa y Antonia Godoy;100;-31.6034617;-60.6732435;-31.6036611;-60.6722004
Javier de la Rosa y Antonia Godoy;Javier de la Rosa y Patricio Cullen;100;-31.6036611;-60.6722004;-31.6038737;-60.6711276
Javier de la Rosa y Patricio Cullen;Javier de la Rosa y Cngo. Echague;100;-31.6038737;-60.6711276;-31.6040896;-60.6700595
Javier de la Rosa y Cngo. Echague;Javier de la Rosa y Talcahuano;100;-31.6040896;-60.6700595;-31.6043167;-60.668946
Javier de la Rosa y Talcahuano;Javier de la Rosa y Defensa;100;-31.6043167;-60.668946;-31.6012734;-60.6826279
Javier de la Rosa y Defensa;Javier de la Rosa y Riobamba;100;-31.6012734;-60.6826279;-31.6047367;-60.6668069
Javier de la Rosa y Riobamba;Javier de la Rosa y Monumento Gral. Jose Gervasio Artigas;100;-31.6047367;-60.6668069;-31.6043582;-60.6719111
Regimiento 12 de Infanteria y Italia;Regimiento 12 de Infanteria y Riobamba;100;-31.6040199;-60.66557;-31.603823;-60.6665512
Regimiento 12 de Infanteria y Riobamba;Regimiento 12 de Infanteria y Defensa;100;-31.603823;-60.6665512;-31.6036122;-60.6676215
Regimiento 12 de Infanteria y Defensa;Regimiento 12 de Infanteria y Talcahuano;100;-31.6036122;-60.6676215;-31.6033933;-60.6686875
Regimiento 12 de Infanteria y Talcahuano;Regimiento 12 de Infanteria y Cngo. Echague;100;-31.6033933;-60.6686875;-31.6031708;-60.6698025
Regimiento 12 de Infanteria y Cngo. Echague;Regimiento 12 de Infanteria y Patricio Cullen;100;-31.6031708;-60.6698025;-31.605082;-60.67153
Regimiento 12 de Infanteria y Patricio Cullen;Regimiento 12 de Infanteria y Antonia Godoy;100;-31.605082;-60.67153;-31.6027465;-60.6719419
Regimiento 12 de Infanteria y Antonia Godoy;Regimiento 12 de Infanteria y Piedras;100;-31.6027465;-60.6719419;-31.602539;-60.6730136
Regimiento 12 de Infanteria y Piedras;Regimiento 12 de Infanteria y Tacuari;100;-31.602539;-60.6730136;-31.6023389;-60.6740204
Regimiento 12 de Infanteria y Tacuari;Regimiento 12 de Infanteria y Av. Gral. Paz;20;-31.6023389;-60.6740204;-31.6022356;-60.6745665
Juan Castelli y Av. Almte. Brown;Estanislao Zeballos y Av. Almte. Brown;100;-31.6120754;-60.6683177;-31.6113093;-60.6675535
Estanislao Zeballos y Av. Almte. Brown;Juan Castelli y Av. Almte. Brown;100;-31.6113093;-60.6675535;-31.6120754;-60.6683177
Estanislao Zeballos y Av. Almte. Brown;Obispo Boneo y Av. Almte. Brown;100;-31.6113093;-60.6675535;-31.6103871;-60.6671033
Obispo Boneo y Av. Almte. Brown;Estanislao Zeballos y Av. Almte. Brown;100;-31.6103871;-60.6671033;-31.6113093;-60.6675535
Obispo Boneo y Av. Almte. Brown;Espora y Av. Almte. Brown;100;-31.6103871;-60.6671033;-31.6092275;-60.6669379
Espora y Av. Almte. Brown;Obispo Boneo y Av. Almte. Brown;100;-31.6092275;-60.6669379;-31.6103871;-60.6671033
Espora y Av. Almte. Brown;Obispo Principe y Av. Almte. Brown;100;-31.6092275;-60.6669379;-31.6084149;-60.666555
Obispo Principe y Av. Almte. Brown;Espora y Av. Almte. Brown;100;-31.6084149;-60.666555;-31.6092275;-60.6669379
Obispo Principe y Av. Almte. Brown;Alberti y Av. Almte. Brown;100;-31.6084149;-60.666555;-31.6075799;-60.6664761
Alberti y Av. Almte. Brown;Obispo Principe y Av. Almte. Brown;100;-31.6075799;-60.6664761;-31.6084149;-60.666555
Alberti y Av. Almte. Brown;Cardenal Fasolino y Av. Almte. Brown;100;-31.6075799;-60.6664761;-31.6067903;-60.6661209
Cardenal Fasolino y Av. Almte. Brown;Alberti y Av. Almte. Brown;100;-31.6067903;-60.6661209;-31.6075799;-60.6664761
Cardenal Fasolino y Av. Almte. Brown;Padre Genesio y Av. Almte. Brown;100;-31.6067903;-60.6661209;-31.6058927;-60.6658898
